year(rtime_ssp5),Tann,dt
2066,302.16965964988424,2066
2067,301.5095572680335,2067
2068,301.53202434501264,2068
2069,301.97821242720994,2069
2070,302.51439679592147,2070
2071,302.3978063409979,2071
2072,301.47255565502024,2072
2073,301.78686117563984,2073
2074,302.1955293083833,2074
2075,302.6245379463992,2075
2076,301.78852073592367,2076
2077,301.7178710012725,2077
2078,302.25909164377333,2078
2079,302.6881906528666,2079
2080,302.2954402371288,2080
2081,301.9778303152784,2081
2082,302.2880869393397,2082
2083,303.25674918845846,2083
2084,302.8080405289878,2084
2085,302.28314093387485,2085
2086,302.725236218385,2086
2087,302.86418095341435,2087
2088,302.9203295466876,2088
2089,303.04105035544245,2089
2090,302.64216076886214,2090
2091,302.3255047011456,2091
2092,302.65439117637146,2092
2093,303.37207968869194,2093
2094,302.8615017772122,2094
2095,302.2266140305233,2095
2096,302.80038724443324,2096
2097,303.7948047881977,2097
2098,303.1681769785255,2098
2099,302.8389782889524,2099
2100,303.25128497499406,2100
